"Category","Feature","Product","Value"
"Core WAF Features","OWASP Top 10 Protection","Akamai App & API Protector","1"
"Core WAF Features","OWASP Top 10 Protection","Cloudflare WAF","1"
"Core WAF Features","OWASP Top 10 Protection","FortiWeb","3"
"Core WAF Features","OWASP Top 10 Protection","AWS Web Application Firewall","2"
"Core WAF Features","OWASP Top 10 Protection","Azure WAF","3"
"Core WAF Features","OWASP Top 10 Protection","F5 Distributed Cloud WAAP","5"
"Core WAF Features","OWASP Top 10 Protection","Imperva WAF","3"
"Core WAF Features","OWASP Top 10 Protection","Palo Alto Networks Prisma WAF","4"
"Core WAF Features","OWASP Top 10 Protection","Radware AppWall","3"
"Core WAF Features","OWASP Top 10 Protection","Barracuda WAF-as-a-Service","5"
"Core WAF Features","Predefined Rulesets","Akamai App & API Protector","3"
"Core WAF Features","Predefined Rulesets","Cloudflare WAF","3"
"Core WAF Features","Predefined Rulesets","FortiWeb","3"
"Core WAF Features","Predefined Rulesets","AWS Web Application Firewall","4"
"Core WAF Features","Predefined Rulesets","Azure WAF","3"
"Core WAF Features","Predefined Rulesets","F5 Distributed Cloud WAAP","4"
"Core WAF Features","Predefined Rulesets","Imperva WAF","3"
"Core WAF Features","Predefined Rulesets","Palo Alto Networks Prisma WAF","1"
"Core WAF Features","Predefined Rulesets","Radware AppWall","2"
"Core WAF Features","Predefined Rulesets","Barracuda WAF-as-a-Service","2"
"Core WAF Features","Custom Rules","Akamai App & API Protector","1"
"Core WAF Features","Custom Rules","Cloudflare WAF","1"
"Core WAF Features","Custom Rules","FortiWeb","3"
"Core WAF Features","Custom Rules","AWS Web Application Firewall","5"
"Core WAF Features","Custom Rules","Azure WAF","1"
"Core WAF Features","Custom Rules","F5 Distributed Cloud WAAP","4"
"Core WAF Features","Custom Rules","Imperva WAF","2"
"Core WAF Features","Custom Rules","Palo Alto Networks Prisma WAF","3"
"Core WAF Features","Custom Rules","Radware AppWall","5"
"Core WAF Features","Custom Rules","Barracuda WAF-as-a-Service","3"
"Core WAF Features","Real-Time Blocking","Akamai App & API Protector","5"
"Core WAF Features","Real-Time Blocking","Cloudflare WAF","3"
"Core WAF Features","Real-Time Blocking","FortiWeb","5"
"Core WAF Features","Real-Time Blocking","AWS Web Application Firewall","2"
"Core WAF Features","Real-Time Blocking","Azure WAF","3"
"Core WAF Features","Real-Time Blocking","F5 Distributed Cloud WAAP","3"
"Core WAF Features","Real-Time Blocking","Imperva WAF","3"
"Core WAF Features","Real-Time Blocking","Palo Alto Networks Prisma WAF","2"
"Core WAF Features","Real-Time Blocking","Radware AppWall","1"
"Core WAF Features","Real-Time Blocking","Barracuda WAF-as-a-Service","5"
"Core WAF Features","Learning Mode","Akamai App & API Protector","1"
"Core WAF Features","Learning Mode","Cloudflare WAF","5"
"Core WAF Features","Learning Mode","FortiWeb","4"
"Core WAF Features","Learning Mode","AWS Web Application Firewall","4"
"Core WAF Features","Learning Mode","Azure WAF","4"
"Core WAF Features","Learning Mode","F5 Distributed Cloud WAAP","3"
"Core WAF Features","Learning Mode","Imperva WAF","3"
"Core WAF Features","Learning Mode","Palo Alto Networks Prisma WAF","3"
"Core WAF Features","Learning Mode","Radware AppWall","5"
"Core WAF Features","Learning Mode","Barracuda WAF-as-a-Service","5"
"Deployment and Integration","Deployment Model","Akamai App & API Protector","2"
"Deployment and Integration","Deployment Model","Cloudflare WAF","2"
"Deployment and Integration","Deployment Model","FortiWeb","1"
"Deployment and Integration","Deployment Model","AWS Web Application Firewall","2"
"Deployment and Integration","Deployment Model","Azure WAF","5"
"Deployment and Integration","Deployment Model","F5 Distributed Cloud WAAP","4"
"Deployment and Integration","Deployment Model","Imperva WAF","5"
"Deployment and Integration","Deployment Model","Palo Alto Networks Prisma WAF","3"
"Deployment and Integration","Deployment Model","Radware AppWall","5"
"Deployment and Integration","Deployment Model","Barracuda WAF-as-a-Service","2"
"Deployment and Integration","Third-Party Integration","Akamai App & API Protector","3"
"Deployment and Integration","Third-Party Integration","Cloudflare WAF","1"
"Deployment and Integration","Third-Party Integration","FortiWeb","2"
"Deployment and Integration","Third-Party Integration","AWS Web Application Firewall","2"
"Deployment and Integration","Third-Party Integration","Azure WAF","2"
"Deployment and Integration","Third-Party Integration","F5 Distributed Cloud WAAP","1"
"Deployment and Integration","Third-Party Integration","Imperva WAF","5"
"Deployment and Integration","Third-Party Integration","Palo Alto Networks Prisma WAF","2"
"Deployment and Integration","Third-Party Integration","Radware AppWall","2"
"Deployment and Integration","Third-Party Integration","Barracuda WAF-as-a-Service","1"
"Deployment and Integration","Global Availability","Akamai App & API Protector","5"
"Deployment and Integration","Global Availability","Cloudflare WAF","5"
"Deployment and Integration","Global Availability","FortiWeb","4"
"Deployment and Integration","Global Availability","AWS Web Application Firewall","3"
"Deployment and Integration","Global Availability","Azure WAF","2"
"Deployment and Integration","Global Availability","F5 Distributed Cloud WAAP","2"
"Deployment and Integration","Global Availability","Imperva WAF","1"
"Deployment and Integration","Global Availability","Palo Alto Networks Prisma WAF","1"
"Deployment and Integration","Global Availability","Radware AppWall","5"
"Deployment and Integration","Global Availability","Barracuda WAF-as-a-Service","5"
"API Security","API Protection","Akamai App & API Protector","1"
"API Security","API Protection","Cloudflare WAF","2"
"API Security","API Protection","FortiWeb","3"
"API Security","API Protection","AWS Web Application Firewall","5"
"API Security","API Protection","Azure WAF","2"
"API Security","API Protection","F5 Distributed Cloud WAAP","5"
"API Security","API Protection","Imperva WAF","2"
"API Security","API Protection","Palo Alto Networks Prisma WAF","1"
"API Security","API Protection","Radware AppWall","1"
"API Security","API Protection","Barracuda WAF-as-a-Service","1"
"API Security","Rate Limiting for APIs","Akamai App & API Protector","4"
"API Security","Rate Limiting for APIs","Cloudflare WAF","2"
"API Security","Rate Limiting for APIs","FortiWeb","3"
"API Security","Rate Limiting for APIs","AWS Web Application Firewall","1"
